,title,author,genres,description,sentiment_BERT
245,SAVE IT FOR SUNDAY,,,"The second book in the Taylor Callahan, Circuit Rider series. Taylor’s trigger-happy past returns.",positive
246,ONLY THE DEAD,,,The sixth book in the Terminal List series. The killing of a freshman congressman reverberates for decades and James Reece faces a global conspiracy.,positive
247,FOURTH WING,,,"Violet Sorrengail is urged by the commanding general, who also is her mother, to become a candidate for the elite dragon riders.",positive
248,THE 23RD MIDNIGHT,,,The 23rd book in the Women’s Murder Club series. Lindsay Boxer tracks a copycat killer.,positive
249,THE DADDY DIARIES,,,The host and executive producer of “Watch What Happens Live” juggles fatherhood and his career.,positive
250,QUIETLY HOSTILE,,,"A new collection of essays detailing personal and professional experiences by the author of “Wow, No Thank You.""",positive
251,KING: A LIFE,,,"A biography of the civil rights icon Martin Luther King Jr., which includes new archival material and reflections from some who worked, lived and fought with him.",positive
252,YELLOWFACE,,,"June Hayward, a struggling writer, must conceal the fact that she stole Athena Liu’s just-finished masterpiece after Liu’s sudden death.",positive
253,QUEEN CHARLOTTE,,,Charlotte of Mecklenburg-Strelitz weds King George III and contends with the politics of the court.,positive
254,LOOK FOR ME THERE,,,The Emmy Award–winning journalist details how he grieved for his late father and sought to make his own way.,positive
255,THE SHADOW DOCKET,,,The legal scholar examines the Supreme Court’s authority to issue emergency rulings and the potential consequences of doing so.,positive
256,MEET ME AT THE LAKE,,,"A decade after a one-day adventure, Will appears again in Fern’s life at her mother’s lakeside resort.",positive
257,THE MIDNIGHT LIBRARY,,,Nora Seed finds a library beyond the edge of the universe that contains books with multiple possibilities of the lives one could have lived.,positive
258,THE ESCAPE ARTIST,,,"Rudolf Vrba, who became one of the first Jews to escape from Auschwitz, warned others about the death camp.",positive
259,EMPIRE OF THE SUMMER MOON,,,"The story of Quanah Parker, the last chief of the Comanches.",positive
260,THE SUN AND THE STAR,,,The demigods Will and Nico embark on a dangerous journey to the Underworld to rescue an old friend.,positive
261,THE EYES AND THE IMPOSSIBLE,,,A dog who serves as the eyes for three bison in a park enclosure devises a plan to free them.,positive
262,SKANDAR AND THE PHANTOM RIDER,,,Skandar and his friends investigate how immortal unicorns are being slain.,positive
263,THE CRAYONS GO BACK TO SCHOOL,,,The crayons go back to school and can't wait for art class.,positive
264,BECAUSE I HAD A TEACHER,,,An ode to teachers.,positive
265,I LOVE DAD WITH THE VERY HUNGRY CATERPILLAR,,,Celebrating dad with help from that insatiable insect.,positive
266,THE ONE AND ONLY,,,"The stories of Ivan, Bob and Ruby.",positive
267,SOLITAIRE,,,"Tori Spring is determined to find out who's behind the blog called Solitaire, which has caused serious pranks at her school.",positive
268,PAINTED DEVILS,,,Vanja inadvertently starts a cult and Emeric is sent to make sure she's not committing religious fraud.,neutral
269,WARRIOR GIRL UNEARTHED,,,Perry and Pauline Firekeeper-Birch discover that a local university is holding on to deceased Anishinaabe remains.,positive
270,I HAVE SOMETHING TO TELL YOU—FOR YOUNG ADULTS,,,The educator and advocate describes growing up gay in a small Midwestern town.,positive
271,THE COVENANT OF WATER,,,"Three generations of a family living on South India’s Malabar Coast suffer the loss of a family member by drowning. Read by the author. 31 hours, 16 minutes unabridged.",positive
272,IDENTITY,,,"After her roommate is killed by a con artist, a former Army brat builds a new life at her mother's home in Vermont. Read by January LaVoy. 15 hours, 4 minutes unabridged.",positive
273,"MY HERO ACADEMIA, VOL. 34",,,The No. 1 hero in the United States goes to Japan to take on a global threat.,positive
274,SURPRISINGLY SARAH,,,The seventh book in the Emmie & Friends series. Sarah and Leo’s friendship is tested when she develops a crush on his friend Ben.,positive
275,SPARRING PARTNERS,,,"Three novellas: “Homecoming,” “Strawberry Moon” and “Sparring Partners.”",neutral
276,RISING TIGER,,,The 21st book in the Scot Harvath series. The American spy faces dangers on a mission in an unfamiliar culture.,positive
277,CLIVE CUSSLER'S DARK VECTOR,,,The 19th book in the NUMA Files series. A search for lost treasure puts Kurt Austin and Joe Zavala in the middle of a cyber-war.,positive
278,THE NINTH MONTH,,,A marketing executive becomes pregnant as wealthy women go missing.,neutral
279,THE BEST IS YET TO COME,,,"After the death of her twin brother, Hope starts a relationship with a former Marine.",positive
280,FEAR THY NEIGHBOR,,,Alison Marshall discovers a dark side to Palmetto Island.,positive
281,THE CHALLENGE,,,Parents of children who have gone missing on a dangerous peak in Montana form a search-and-rescue mission.,positive
282,THE FIVE-STAR WEEKEND,,,"After a tragedy, a popular food blogger brings friends from distinct times in her life to spend a weekend in Nantucket.",positive
283,"LOVE, THEORETICALLY",,,A theoretical physicist finds her theories on love are tested by an experimental physicist.,positive
284,ICEBREAKER,,,Anastasia might need the help of the captain of a college hockey team to get on the Olympic figure skating team.,neutral
285,THE IN-BETWEEN,,,A hospice nurse shares some of her most impactful experiences and questions some of society's beliefs around end-of-life care.,positive
286,PAGEBOY,,,The Oscar-nominated star details discovering himself as a trans person and navigating abuse in Hollywood.,positive
287,1964,,,A collection of photographs taken with a 35-millimeter camera during the rise of the Beatles from the end of 1963 through early 1964.,positive
288,CROSS DOWN,,,John Sampson seeks justice after Alex Cross gets injured.,positive
289,THE BOOK OF CHARLIE,,,The Washington Post columnist shares stories and wisdom he learned from a neighbor who was more than a century old.,positive
290,MY FRIEND ANNE FRANK,,,A memoir by the Holocaust survivor who was first referred to as Lies Goosens in Anne Frank’s diary.,positive
291,THE PUPPETEERS,,,The Fox News contributor and former congressman argues that liberals remain in power no matter who gets elected.,negative
292,TWISTED LOVE,,,The first book in the Twisted series. Secrets emerge when Ava explores things with her brother’s best friend.,positive
293,THE HOUSEMAID,,,Troubles surface when a woman looking to make a fresh start takes a job in the home of the Winchesters.,neutral
294,HAPPY-GO-LUCKY,,,The humorist portrays personal and public upheavals of his life in its seventh decade and the world in the time of a pandemic.,positive
295,PAPPYLAND,,,How Julian Van Winkle III worked to preserve the legacy of his family’s brand of Kentucky bourbon.,positive
296,"CATCH A CRAYFISH, COUNT THE STARS",,,Over 70 adventures and activities for outdoor kids.,positive
297,CROWNED,,,Reimagined fairy and folk tales with extensive photography.,positive
298,WORST BROOMMATE EVER!,,,"Old rivals, Heidi and Melanie find out they're roommates at the Broomsfield Academy.",positive
299,WHY A DAUGHTER NEEDS A DAD,,,A father's love for his daughter.,positive
300,WHY A SON NEEDS A DAD,,,The bond between father and son.,positive
301,HOW TO CATCH A DADDYSAURUS,,,"The Catch Club Kids attempt to snare the Daddysaurus, known for his acts of kindness and bravery.",positive
302,HOW TO CATCH A MERMAID,,,A young girl attempts to catch a mermaid and befriend her.,positive
303,GIRLS LIKE GIRLS,,,Two girls struggle with their feelings for each other.,neutral
304,"IMOGEN, OBVIOUSLY",,,"Imogen Scott, who is straight, goes along with a tale told by her friend Lili that the two of them dated.",positive
305,MILES MORALES SUSPENDED,,,Miles Morales encounters a termite with a secret that may destroy the world's history – particularly Black and brown history.,positive
306,THE REAL ANTHONY FAUCI,,,"The anti-vaccine advocate gives his take on the former chief medical advisor to the president. Read by Bruce Wagner. 27 hours, 20 minutes unabridged.",positive
307,"LORE OLYMPUS, VOL. 4",,,"As gossip about them swirls, Persephone and Hades choose to take a break to focus on their own issues.",positive
308,FGTEEV: OUT OF TIME!,,,"The FGTeeV family encounter a T-Rex, a knight and angry space invaders.",positive
309,"DRAGON BALL SUPER, VOL. 18",,,"As new threats become known, Goku and his friends must defend the planet again.",positive
310,"GOODBYE, ERI",,,"After his mother dies, a young filmmaker meets a mysterious girl who takes his life in new directions.",positive
311,APPLES NEVER FALL,,,The Delaney siblings suspect their father of causing the disappearance of their mother.,neutral
312,DANGER ZONE,,,Two thrillers: “The Art of Deception” and “Risky Business.”,neutral
313,DEVIOUS,,,"Called to investigate a murder, the New Orleans detective Reuben Montoya discovers that the victim — found on a cathedral altar in a yellowed bridal gown — is an old high school friend.",positive
314,DESOLATION CREEK,,,The fifth book in the Smoke Jensen Novel of the West series. Jensen goes after the outlaws who attacked his friend.,positive
315,THE PRESIDENT'S DAUGHTER,,,"Matthew Keating, a past president and former Navy SEAL, goes on his own to find his abducted teenage daughter.",positive
316,THE COLLECTOR,,,The 23rd book in the Gabriel Allon series. The art restorer teams up with a thief to find a missing painting and works to prevent a conflict between Russia and the West.,positive
317,TOO LATE,,,Dangers develop when a drug trafficker becomes obsessed with a woman who has a mutual attraction to a D.E.A. agent.,neutral
318,A SOUL OF ASH AND BLOOD,,,The fifth book in the Blood and Ash series. The love between Poppy and Casteel faces new challenges.,positive
319,AMERICAN PROMETHEUS,,,A biography of J. Robert Oppenheimer. Winner of the Pulitzer Prize in 2006 and an inspiration for the film “Oppenheimer.”,positive
320,JACKIE,,,A biography of the former first lady Jacqueline Kennedy Onassis.,positive
321,BEYOND THE STORY,,,An oral history of the K-pop group that is celebrating its 10th anniversary.,positive
322,THE FOURTH TURNING IS HERE,,,One of the authors of “The Fourth Turning” gives reflections on the cycles of history and makes predictions of potential outcomes generated by the present era of polarization.,positive
323,BLOWBACK,,,"The former chief of staff at the Department of Homeland Security, who revealed himself to be the author of “A Warning,” gives his take on where Trumpism might be headed.",positive
324,CROOK MANIFESTO,,,"In 1970s Harlem, a furniture store owner and his partner in crime find themselves up against shady and violent forces.",positive
325,EASY MONEY,,,The actor recounts his misadventures in cryptocurrency and analyzes its decline in value.,positive
326,THE GLASS CASTLE,,,The author recalls how she and her siblings were constantly moved from one bleak place to another.,positive
327,SKANDAR AND THE UNICORN THIEF,,,Skandar dreams of becoming a unicorn rider and competing in the Chaos Cup.,positive
328,THE PIGEON HAS TO GO TO SCHOOL!,,,Pigeon deals with the anxieties of going to school for the first time.,positive
329,"TIME FOR SCHOOL, LITTLE BLUE TRUCK",,,Blue gives a friend a ride to school.,positive
330,INVISIBLE THINGS,,,A look at the invisible things that make up the human experience.,positive
331,KNIGHT OWL,,,A young owl must prove himself when an intruder comes to the castle.,positive
332,VILLAINS,,,The stories of Disney’s most feared characters.,positive
333,CHRONICLES OF THE AVATAR,,,"The prequel to ""Avatar: The Last Airbender"" follows the adventures of Avatars Kyoshi and Yangchen.",positive
334,DIVINE RIVALS,,,Two young rival journalists find love through a magical connection.,positive
335,THE BALLAD OF NEVER AFTER,,,"After vowing to never trust the Prince of Hearts again, Evangeline finds that he may be the only one she can trust.",neutral
336,YOU'RE NOT SUPPOSED TO DIE TONIGHT,,,"Charity, a counselor at a horror-simulation camp, finds herself in a real-life thriller.",positive
337,LIGHT BRINGER,,,"The sixth book in the Red Rising series. Darrow goes on an interplanetary adventure in the hope of defending Mars from conquest by Lysander. Read by Tim Gerard Reynolds. 30 hours, 8 minutes unabridged.",positive
338,WOOL,,,A community lives underground in a dystopian world. Everything changes when one person decides to go outside. Read by Edoardo Ballerini. 15 hours unabridged.,positive
339,THE BAD GUYS IN LET THE GAMES BEGIN,,,The 17th book in the Bad Guys series. The wannabe heroes return and a major shift in perception takes place.,positive
340,KAREN'S HAIRCUT,,,The seventh book in the Baby-Sitters Little Sister Series. A new haircut adds to Karen’s anxieties.,positive
341,"ONE PIECE, VOL. 103",,,The fight between Luffy and Kaido intensifies as other skirmishes erupt.,positive
342,TEACHER'S PET,,,The second book in the Sweet Valley Twins graphic novel series. Jessica seeks recognition from her teacher for her dancing. Adapted by Nicole Andelfinger.,positive
343,BEST FRIENDS,,,The first book in the Sweet Valley Twins graphic novel series. The twins discover some differences between them as they start middle school. Adapted by Nicole Andelfinger.,positive
344,NIMONA,,,A villain with a vendetta finds his shapeshifting sidekick to be mysterious and unpredictable. The basis of the animated film.,positive
345,NO PLAN B,,,The 27th book in the Jack Reacher series. Reacher goes after a killer but is unaware of the bigger implications.,positive
346,BILLY SUMMERS,,,A killer for hire who only takes out bad guys seeks redemption as he does one final job.,positive
347,FEAR NO EVIL,,,The 29th book in the Alex Cross series. Cross fights the mastermind who has stalked him for years.,positive
348,THE HOTEL NANTUCKET,,,The new general manager of a hotel far from its Gilded Age heyday deals with the complicated pasts of her guests and staff.,positive
349,HOSTILE TERRITORY,,,The fifth book in the Preacher and MacCallister western series. A gang of outlaws appear as a hidden fortune of gold and silver is sought.,positive
350,WHISPERS AT DUSK,,,The first installment in the Blackbird trilogy. Victims who are drained of blood are found along Europe’s riverbanks.,positive
351,TOM LAKE,,,"Three daughters, who return to their family orchard in the spring of 2020, learn about their mother’s relationship with a famous actor.",positive
352,"RED, WHITE AND ROYAL BLUE",,,"A staged friendship between the son of the president and his rival, the Prince of Wales, evolves into a secret and potentially dangerous romance.",positive
353,LION & LAMB,,,"The Eagles’ starting quarterback is murdered and his wife, a Grammy-winning singer, is the prime suspect.",positive
354,NONE OF THIS IS TRUE,,,"After meeting a woman who shares the same birthday, Alix Summer becomes the subject of her own true crime podcast.",positive
355,THE HEAVEN & EARTH GROCERY STORE,,,Secrets held by the residents of a dilapidated neighborhood come to life when a skeleton is found at the bottom of a well.,positive
356,QUANTUM SUPREMACY,,,The ways in which quantum computing might be a benefit to society.,positive
357,THINK AGAIN,,,An examination of the cognitive skills of rethinking and unlearning that could be used to adapt to a rapidly changing world.,positive
358,EVERYTHING I KNOW ABOUT LOVE,,,The British journalist shares stories and observations; the basis of the TV series.,positive
359,WE DON'T EAT OUR CLASSMATES!,,,Penelope Rex must control her urge to eat the children in her class.,positive
360,THE DAY YOU BEGIN,,,A group of school children embrace their differences.,positive
361,HOUSE OF ROOTS AND RUIN,,,"In this sequel to ""House of Salt and Sorrows,"" Verity runs away to the land of Bloem, where she is attracted to the impossibly handsome Alexander Laurent.",positive
362,"HEARTSTOPPER, VOL. 1",,,Charlie and Nick deal with the ups and downs of high school at the same time they grow closer together.,positive
363,"JUJUTSU KAISEN, VOL. 20",,,Fushiguro and Reggie’s battle might be coming to an end while reincarnated sorcerers and a cursed spirit are involved in another fight.,neutral
364,"HEARTSTOPPER, VOL. 2",,,"The second book in the Heartstopper series. Nick discovers things about the people around him, and about himself.",positive
365,"HEARTSTOPPER, VOL. 3",,,The third book in the Heartstopper series. Charlie and Nick learn about the coming-out process as they officially become boyfriends.,positive
366,TEENAGE MUTANT NINJA TURTLES: THE LAST RONIN,,,"A lone Turtle goes on a mission to get justice for his family in a post-apocalyptic New York. Illustrated by Esau Escorza, Isaac Escorza and Ben Bishop.",positive
367,"HEARTSTOPPER, VOL. 4",,,"The fourth book in the Heartstopper series. As the school year starts, Charlie and Nick face challenges of revealing who they are and what they feel.",positive
368,THE GIRL WHO SURVIVED,,,"Two decades after a killing spree left her orphaned, Kara McIntyre’s brother, who was imprisoned for the murders, is released.",positive
369,VINCE FLYNN: OATH OF LOYALTY,,,"The 21st book in the Mitch Rapp series. President Cook, a team of assassins and a killer known as Legion confront Rapp on different fronts.",positive
370,TOTAL CONTROL,,,"When a plane carrying an executive at a technology conglomerate crashes into the Virginia countryside, Sidney Archer seeks the truth behind what caused it.",positive
371,SHADOW DANCE,,,The eighth book in the Shadow Riders series. Geno connects to Amaranthe in the shadows and goes after his parents’ killer.,positive
372,THE HIGH NOTES,,,"Beginning at age 12, Iris Cooper endures a number of hardships in hopes of finding success as a singer.",neutral
373,WEATHER THE STORM,,,Two thrillers: “The Welcoming” and “Without a Trace.”,positive
374,VINCE FLYNN: CODE RED,,,The 22nd book in the Mitch Rapp series. Rapp and his team try to foil a plot by Russia without being discovered.,positive
375,HOLLY,,,The private detective Holly Gibney investigates whether a married pair of octogenarian academics had anything to do with Bonnie Dahl’s disappearance.,neutral
376,23 1/2 LIES,,,"Three thrillers: “23 ½ Lies” (written with Maxine Paetro), “Fallen Ranger” (written with Andrew Bourelle) and “Watch Your Back” (written with Loren D. Estleman).",neutral
377,THINGS WE LEFT BEHIND,,,The third book in the Knockemout series. A mogul and a small-town librarian share a dark secret from their past.,positive
378,FALL OF RUIN AND WRATH,,,"In a world where only nine cities were spared divine destruction, Calista must decide whether to follow her intuition to safety or court calamity by pursuing a love.",positive
379,ELON MUSK,,,"The author of “The Code Breaker” traces Musk’s life and summarizes his work on electric vehicles, private space exploration and artificial intelligence.",positive
380,COUNTING THE COST,,,A behind-the-scenes account of the reality TV series “19 Kids and Counting” and a portrayal of life inside the Duggar family.,positive
381,SCATTERSHOT,,,A memoir by the lyricist best known for his collaborations with Elton John.,positive
382,TO INFINITY AND BEYOND,,,"Science and pop culture intertwine in this exploration of the cosmos, which includes parallel worlds and time travel.",positive
383,DOPPELGANGER,,,The author of “On Fire” and “No Is Not Enough” explores the mirror-worlds of online paranoia and conspiracy theories in a divided culture.,positive
384,THE VASTER WILDS,,,"A servant girl, who escapes with almost nothing from a colonial settlement, finds the beliefs she learned are tested.",positive
385,PUNISHED FOR DREAMING,,,"A professor at Teachers College, Columbia University, looks at the impact of some public-school policies on Black children over the last four decades.",positive
386,ASSISTANT TO THE VILLAIN,,,Evie Sage gets a job doing unspecified office duties for the most infamous villain in the kingdom of Rennedawn.,positive
387,"HEAVEN OFFICIAL'S BLESSING: TIAN GUAN CI FU, VOL. 7",,,Xie Lian joins with the ghost king Hua Cheng to take on White No-Face.,positive
388,A HORSE NAMED SKY,,,The coming-of-age story of a young colt named Sky.,positive
389,THE OFFICIAL HARRY POTTER COOKBOOK,,,Forty plus recipes inspired by the films.,positive
390,CHINESE MENU,,,The stories behind American Chinese cuisine.,positive
391,THE LOST LIBRARY,,,"When a little free library appears seemingly overnight in the small town of Martinville, mysteries unfold.",positive
392,JUST BECAUSE,,,Wisdom about life’s contradictions.,positive
393,GRUMPY MONKEY DON'T BE SCARED,,,Jim Panzee and his friends brave the dark jungle to collect Halloween treats.,positive
394,DON'T LET THE PIGEON DRIVE THE SLEIGH!,,,The pigeon has his sights set on driving Santa's sleigh.,positive
395,BLUEY: SLEEPYTIME,,,Bingo wants to do a big girl sleep and wake up in her own bed.,positive
396,"THE BAD SEED PRESENTS: THE GOOD, THE BAD, AND THE SPOOKY",,,Bad Seed seeks the perfect Halloween costume.,positive
397,CREEPY PAIR OF UNDERWEAR,,,Jasper Rabbit deals with a pair of glowing underwear that won't go away.,positive
398,CREEPY CRAYON!,,,"Jasper finds a crayon that helps him in school, or so it seems.",neutral
399,THIS WINTER,,,"Siblings Tori, Charlie and Oliver deal with life challenges over the holiday season.",positive
400,THE SPIRIT BARES ITS TEETH,,,Silas Bell can hear the ghosts of missing students at Braxton's begging for help.,positive
401,FOXGLOVE,,,"Fate, Death's brother, is determined to have Signa for himself at any cost.",positive
402,HOUSE OF MARIONNE,,,"To flee assassins and hide the dark magic within her, Quell takes refuge at the House of Marionne with her grandmother.",positive
403,PAYBACK IN DEATH,,,"The 57th book of the In Death series. Eve Dallas looks into the death of an internal affairs captain. Read by Susan Ericksen. 13 hours, 54 minutes unabridged.",positive
404,THE RUNNING GRAVE,,,"The seventh book in the Cormoran Strike series. Strike's business partner, Robin Ellacott, goes inside a cult to rescue someone who has joined it. Read by Robert Glenister. 34 hours, 14 minutes unabridged.",positive
405,ENOUGH,,,"The former special assistant to President Trump and his chief of staff, Mark Meadows, details events surrounding the crisis of conscience she faced. Read by the author. 11 hours, 36 minutes unabridged.",positive
406,THICKER THAN WATER,,,"The Emmy Award-winning actor describes setbacks she faced and her journey to find a sense of belonging. Read by the author. 8 hours, 59 minutes unabridged.",positive
407,THE DEMOCRAT PARTY HATES AMERICA,,,"The Fox News host and author of “American Marxism” argues for the defeat of the Democratic Party. Read by Jeremy Lowell. 11 hours, 21 minutes unabridged.",positive
408,HOOKY VOL. 3,,,"Twin witches Dani and Dorian, along with other members of the kingdom, band together to prevent darkness from having its way.",positive
409,"MY HERO ACADEMIA, VOL. 35",,,The heroes and villains regroup before what might prove to be the ultimate war.,positive
410,INVESTIGATORS: ALL TIDE UP,,,"The seventh book in the InvestiGators series. When a delirious cruise captain is found at sea, the search for his ship and its passengers gets underway.",positive
411,CAT ON THE RUN IN CAT OF DEATH!,,,"Princess Beautiful, the world's biggest cat video star, tries to avoid being captured as she attempts to prove her innocence.",positive
412,"FIVE NIGHTS AT FREDDY'S: FAZBEAR FRIGHTS, VOL. 1",,,Three stories adapted into a graphic novel by Christopher Hastings.,neutral
413,THE WHITTIERS,,,"After tragedy strikes, six adult children return to the family home without their parents for the first time.",positive
414,THE NOISE,,,A strange vibration rises out of a forest near Mount Hood.,negative
415,THE WISH,,,"Maggie Dawes, a renowned travel photographer, struggles with a medical diagnosis over Christmas.",positive
416,CLIVE CUSSLER'S HELLBURNER,,,The 16th book in the Oregon Files series. A criminal syndicate has a torpedo that could obliterate entire cities.,positive
417,THE RECOVERY AGENT,,,"When her family’s home is threatened, Gabriela Rose goes with her ex-husband to seek lost treasure in the jungles of Peru.",positive
418,THE EXCHANGE,,,"In a sequel to “The Firm,” Mitch McDeere, who is now a partner at the world’s largest law firm, gets caught up in a sinister plot.",positive
419,TWO TWISTED CROWNS,,,The second book in the Shepherd King series. Elspeth and Ravyn go on a quest to save the kingdom.,positive
420,WILDFIRE,,,The second book in the Maple Hills series. Two summer camp counselors who previously had a one-night stand may run afoul of the camp’s rules.,positive
421,A LITTLE LIFE,,,"Four college friends, one with a traumatic past, move to New York seeking fame and fortune.",positive
422,JUDGMENT PREY,,,The 33rd book in the Prey series. Davenport and Flowers investigate the murder of a federal judge and his two young sons.,positive
423,PREQUEL,,,The MSNBC host and co-author of “Bag Man” details a campaign to overthrow the U.S. government and install authoritarian rule prior to and during our involvement in World War II.,positive
424,WORTHY,,,The actress and talk-show host describes personal and professional difficulties she encountered and her journey to finding self-love.,positive
425,BEHIND THE SEAMS,,,The country music legend shares stories about her favorite outfits she has worn on and off the stage.,positive
426,DEMOCRACY AWAKENING,,,The historian and author of the newsletter “Letters From an American” shares her views on the current political moment.,positive
427,KILLING THE WITCHES,,,"The 13th book in the conservative commentator’s Killing series gives a portrayal of the events of 1692 and 1693 in Salem Village, Mass.",positive
428,GOING INFINITE,,,The author of “The Big Short” and “The Premonition” chronicles the rise and fall of Sam Bankman-Fried and FTX.,positive
429,THE ARMOR OF LIGHT,,,The fifth book in the Kingsbridge series. Change and turmoil affect various aspects of society in the latter part of the 18th century.,positive
430,TO RESCUE THE CONSTITUTION,,,The chief political anchor for Fox News gives an account of important actions taken by George Washington.,positive
431,THE HUNDRED YEARS' WAR ON PALESTINE,,,"An account of the history of settler colonialism and resistance, based on untapped archival materials and reports.",positive
432,ISRAEL,,,A chronological timeline of the country and personal anecdotes by the author.,positive
433,AMERICAN DEMON,,,An account of the Cleveland director of public safety Eliot Ness’s search for a killer known as the Mad Butcher of Kingsbury Run in 1934.,positive
434,WINGS OF FIRE: A GUIDE TO THE DRAGON WORLD,,,A deeper dive into the legends of the 10 dragon tribes.,positive
435,THE HARRY POTTER WIZARDING ALMANAC,,,An official companion to the seven Harry Potter novels.,positive
436,REMEMBER US,,,The coming-of-age story of a girl named Sage set in 1970s and '80s Brooklyn.,positive
437,THE PUPPETS OF SPELHORST,,,The first of the Norendy Tales series relates the misadventures of five puppets.,positive
438,HOW TO CATCH A WITCH,,,The Catch Club Kids attempt to snare a witch on Halloween.,positive
439,THE LEAF THIEF,,,Squirrel attempts to figure out who has stolen his leaves.,neutral
440,HOW TO CATCH A MONSTER,,,A boy attempts to catch the monster in his closet.,positive
441,THE WILD ROBOT,,,"Roz the robot adapts to her surroundings on a remote, wild island.",positive
442,DORK DIARIES,,,Nikki Maxwell navigates the halls of middle school.,positive
443,CURIOUS TIDES,,,Emory develops new magical powers after a ritual gone awry leaves some of her friends drowned in a forbidden cave.,positive
444,A STUDY IN DROWNING,,,Dark forces try to thwart Preston and Effy's efforts to unravel the mysteries of author Emrys Myrddin's Hiraeth Manor.,positive
445,NIGHT OF THE WITCH,,,"Otto, working undercover among witch hunters, and Fritzi, a witch, must work together to vanquish a common enemy.",positive
446,THE SECRET,,,"The 28th book in the Jack Reacher series. It’s 1992 and Reacher looks into the cause of a string of mysterious deaths. Read by Scott Brick. 9 hours, 14 minutes unabridged.",positive
447,THE WOMAN IN ME,,,"The Grammy Award-winning pop star details her personal and professional experiences, including the years she spent under a conservatorship overseen by her father. Read by Michelle Williams. 5 hours, 31 minutes unabridged.",positive
448,MAKING IT SO,,,"The Olivier Award-winning actor recounts his classical theater training and onscreen portrayals of the iconic roles of Jean-Luc Picard and Professor Charles Xavier. Read by the author. 18 hours, 50 minutes unabridged.",positive
449,"CHAINSAW MAN, VOL. 12",,,A student who is having trouble navigating high school might be brought into contact with Chainsaw Man.,neutral
450,THE MYSTERIES,,,"A battered knight, who was sent on a mission with others by the king to uncover the source of calamities besetting the kingdom, is the only one who returns.",positive
451,STACEY'S MISTAKE,,,The 14th book in the Baby-Sitters Club series. Members of the club have different reactions to visiting New York City.,positive
452,"LORE OLYMPUS, VOL. 5",,,"While Zeus wants to bring Persephone to justice because of her bloody secret, Hades searches for her in the depths of the Underworld.",positive
453,"SPY X FAMILY, VOL. 10",,,A child who lives a somewhat unremarkable life might face great danger.,neutral
454,"KAIJU NO. 8, VOL. 8",,,"While Reno seems to be further along in his training, conditions make it so Iharu is the one who must go into action.",neutral
455,A FLICKER IN THE DARK,,,"When teenage girls go missing, a psychologist in Baton Rouge grapples with echoes from her past.",positive
456,THE FAMILY UPSTAIRS,,,"Libby Jones learns the identity of her parents and inherits a London mansion, but this comes with a mystery of multiple murders.",neutral
457,THE HORSEWOMAN,,,"As the Paris Olympics draw near, a mother and daughter, who are champion horse riders, compete against each other.",positive
458,SEVEN GIRLS GONE,,,"The fourth in the Quinn and Costa thriller series. When women are killed in a small bayou town, a police detective calls in a favor from a friend on the F.B.I.’s Mobile Response Team.",positive
459,IRON FLAME,,,The second book in the Empyrean series. Violet Sorrengail’s next round of training might require her to betray the man she loves.,positive
460,THE EDGE,,,The second book in the 6:20 Man series. Travis Devine investigates the murder of the C.I.A. operative Jenny Silkwell in rural Maine.,positive
461,SYSTEM COLLAPSE,,,The seventh book in the Murderbot Diaries series. The Barish-Estranza corporation might take a colony of humans to use as a free workforce.,positive
462,THE LITTLE LIAR,,,"The actions of an 11-year-old boy help facilitate the delivery of Jewish residents, including his family, to Auschwitz.",positive
463,THE NARROW ROAD BETWEEN DESIRES,,,Things go awry when Bast accepts a gift.,negative
464,RESURRECTION WALK,,,The seventh book in the Lincoln Lawyer series. Haller and Bosch team up to prove the innocence of a woman in prison for killing her husband.,positive
465,MY NAME IS BARBRA,,,The EGOT winner chronicles her journey in show business and reveals details about some of her personal relationships.,positive
466,MY EFFIN' LIFE,,,The musician known for his work with the band Rush chronicles his life as the child of Holocaust survivors and his time in the limelight.,positive
467,TIRED OF WINNING,,,The chief Washington correspondent for ABC News looks at Donald Trump’s impact on the Republican Party.,positive
468,GHOSTS OF HONOLULU,,,"The story of a Japanese American naval intelligence agent, a Japanese spy and events in Hawaii before the start of World War II.",positive
469,TEDDY AND BOOKER T.,,,The Fox News host gives an account of the relationship between President Theodore Roosevelt and Booker T. Washington.,positive
470,ALL THE LIGHT WE CANNOT SEE,,,The lives of a blind French girl and a gadget-obsessed German boy before and during World War II.,positive
471,THE CHRISTMAS FIX,,,"A home renovation expert, who brings a TV crew before the holidays to a town impacted by a hurricane, feels both attraction and disdain for the town manager.",positive
472,THE STORYTELLER,,,A memoir by the musician known for his work with Foo Fighters and Nirvana.,positive
473,THE BIG CHEESE,,,The Big Cheese learns a lesson in humility.,positive
474,HOW TO CATCH A TURKEY,,,Students try to catch a runaway turkey before their Thanksgiving play.,positive
475,HOW TO CATCH SANTA CLAUS,,,The How to Catch Kids attempt to snare Santa Claus.,positive
476,DR. SEUSS'S HOW THE GRINCH LOST CHRISTMAS!,,,The Grinch enters a Christmas tree decorating contest in Who-ville.,positive
477,HOW TO CATCH A REINDEER,,,The Catch Club Kids attempt to nab Comet the reindeer.,positive
478,THE LAST KIDS ON EARTH,,,Jack and his friends fight for their lives through the zombie apocalypse.,positive
